post_title,post_excerpt,post_content,sku,regular_price,tax:product_type,tax:product_cat,attribute:pa_chain,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_diamonds,attribute:pa_lock,attribute:pa_material,attribute:pa_measure,attribute_data:pa_measure,attribute_default:pa_measure
PF003 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF003 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | GR | R | TB,0|1|1,DB,,,,22 mm,,22 mm
PF029 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF029 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | GR | R | TB,0|1|1,DB,,,,22 mm,,22 mm
23927 DB,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",23927 DB VARIABLE,"214,00",variable,Eggs > Anastasija,,DB | R,0|1|1,DB,,,,22 mm,,22 mm
PF010 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF010 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | R,0|1|1,DB,,,,22 mm,,22 mm
23800 DB,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,23800 DB VARIABLE,"214,00",variable,Eggs > Emperor,,DB | R | TB,0|1|1,DB,,,,22 mm,,22 mm
23947 DB,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",23947 DB VARIABLE,"214,00",variable,Eggs > Anastasija,,DB | R | V,0|1|1,DB,,,,22 mm,,22 mm
PF016 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF016 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | R | V | W,0|1|1,DB,,,,22 mm,,22 mm
23878 DB,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",23878 DB VARIABLE,"214,00",variable,Eggs > Anastasija,,DB | TB | W,0|1|1,DB,,,,22 mm,,22 mm
23928 DBG,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",23928 DBG VARIABLE,"214,00",variable,Eggs > Anastasija,,DBG | DBS | R | TB | W,0|1|1,DBG,,,,22 mm,,22 mm
01498 DBS,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,01498 DBS VARIABLE,"214,00",variable,Eggs > Emperor,,DBS | R | TBS,0|1|1,DBS,,,,22 mm,,22 mm
23840 DV,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,23840 DV VARIABLE,"214,00",variable,Eggs > Emperor,,DV | R | V,0|1|1,DV,,,,22 mm,,22 mm
13907 G,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,13907 G VARIABLE,"214,00",variable,Eggs > Emperor,,G | S,0|1|1,G,,,,22 mm,,22 mm
23979 G,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,23979 G VARIABLE,"214,00",variable,Eggs > Emperor,,G | S,0|1|1,G,,,,22 mm,,22 mm
63003 G,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,63003 G VARIABLE,"214,00",variable,Eggs > Emperor,,G | S,0|1|1,G,,,,22 mm,,22 mm
01493 GDB,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",01493 GDB VARIABLE,"214,00",variable,Eggs > Anastasija,,GDB | GW | WDB,0|1|1,GDB,,,,22 mm,,22 mm
15964 GR,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,15964 GR VARIABLE,"214,00",variable,Eggs > Emperor,,GR | TB,0|1|1,GR,,,,22 mm,,22 mm
01480 GR,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,01480 GR VARIABLE,"214,00",variable,Eggs > Emperor,,GR | TBS | W,0|1|1,GR,,,,22 mm,,22 mm
13915 TB,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",13915 TB VARIABLE,"214,00",variable,Eggs > Anastasija,,TB | V | W,0|1|1,TB,,,,22 mm,,22 mm
13981 B,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,13981 B,"214,00",simple,Eggs > Emperor,,,,B,,,,22 mm,,22 mm
13989 GR,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",13989 GR,"214,00",simple,Eggs > Anastasija,,,,GR,,,,22 mm,,22 mm
23999 TB,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",23999 TB,"214,00",simple,Eggs > Anastasija,,,,TB,,,,22 mm,,22 mm
P32-1 LB,"Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set",P32-1 LB,"3.231,00",simple,Eggs > Empress Maria,40 cm 18 carat gold,,,LB,,Gold with diamonds (VS-S),18 carat gold and diamonds (VS-S),22 mm,,22 mm
P32-2 R,"Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set",P32-2 R,"3.231,00",simple,Eggs > Empress Maria,40 cm 18 carat gold,,,R,,Gold with diamonds (VS-S),18 carat gold and diamonds (VS-S),22 mm,,22 mm
P32-3 DB,"Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set",P32-3 DB,"3.231,00",simple,Eggs > Empress Maria,40 cm 18 carat gold,,,DB,,Gold with diamonds (VS-S),18 carat gold and diamonds (VS-S),22 mm,,22 mm
P32-4 GR,"Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set",P32-4 GR,"3.231,00",simple,Eggs > Empress Maria,40 cm 18 carat gold,,,GR,,Gold with diamonds (VS-S),18 carat gold and diamonds (VS-S),22 mm,,22 mm
P32-5 DB,"Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set",P32-5 DB,"3.231,00",simple,Eggs > Empress Maria,40 cm 18 carat gold,,,DB,,Gold with diamonds (VS-S),18 carat gold and diamonds (VS-S),22 mm,,22 mm
P32-6 DB,"Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set",P32-6 DB,"3.231,00",simple,Eggs > Empress Maria,40 cm 18 carat gold,,,DB,,Gold with diamonds (VS-S),18 carat gold and diamonds (VS-S),22 mm,,22 mm
P32-7 W,"Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set",P32-7 W,"3.231,00",simple,Eggs > Empress Maria,40 cm 18 carat gold,,,W,,Gold with diamonds (VS-S),18 carat gold and diamonds (VS-S),22 mm,,22 mm
PF005 TB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF005 TB,"214,00",simple,Eggs > Peter Carl Fabergé,,,,TB,,,,22 mm,,22 mm
PF008 GR,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF008 GR,"214,00",simple,Eggs > Peter Carl Fabergé,,,,GR,,,,22 mm,,22 mm
PF020 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF020 DB,"214,00",simple,Eggs > Peter Carl Fabergé,,,,DB,,,,22 mm,,22 mm
PF023 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF023 DB,"214,00",simple,Eggs > Peter Carl Fabergé,,,,DB,,,,22 mm,,22 mm
PF028 B,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF028 B,"214,00",simple,Eggs > Peter Carl Fabergé,,,,B,,,,22 mm,,22 mm
SP3153,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,SP3153,"1.496,00",simple,Eggs > Natalia,,,,,"0,1-0,2 ct (VS-S)",,Mother Pearl and 18 carat gold,22 mm,,22 mm
SP3154,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,SP3154,"1.496,00",simple,Eggs > Natalia,,,,,"0,1-0,2 ct (VS-S)",,Mother Pearl and 18 carat gold,22 mm,,22 mm
SP3155,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,SP3155,"1.496,00",simple,Eggs > Natalia,,,,,"0,1-0,2 ct (VS-S)",,Mother Pearl and 18 carat gold,22 mm,,22 mm
SP3156,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,SP3156,"1.496,00",simple,Eggs > Natalia,,,,,"0,1-0,2 ct (VS-S)",,Mother Pearl and 18 carat gold,22 mm,,22 mm
SP3157,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,SP3157,"1.496,00",simple,Eggs > Natalia,,,,,"0,1-0,2 ct (VS-S)",,Mother Pearl and 18 carat gold,22 mm,,22 mm
GOBLET4217 R,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,GOBLET4217 R VARIABLE,"150,00",variable,Hermitage,,R | DB | V | GR,0|1|1,R,,,Crystal,220 ml x2,,220 ml x2
P000816-B-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",P000816-B-W VARIABLE,"128,00",variable,Eggs > Alexandra,,,,B-W,,,Black rhodium silver with white agate,25 mm | 28 mm,0|1|1,28 mm
P000816-G-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",P000816-G-W VARIABLE,"128,00",variable,Eggs > Alexandra,,,,G-W,,,Gold plated silver with white agate,25 mm | 28 mm,0|1|1,28 mm
P000817-B-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",P000817-B-W VARIABLE,"128,00",variable,Eggs > Alexandra,,,,B-W,,,Black rhodium silver with white agate,25 mm | 28 mm,0|1|1,28 mm
P000817-G-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",P000817-G-W VARIABLE,"128,00",variable,Eggs > Alexandra,,,,G-W,,,Gold plated silver with white agate,25 mm | 28 mm,0|1|1,28 mm
P000818-B-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",P000818-B-W VARIABLE,"128,00",variable,Eggs > Alexandra,,,,B-W,,,Black rhodium silver with white agate,25 mm | 28 mm,0|1|1,28 mm
P000818-G-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",P000818-G-W VARIABLE,"128,00",variable,Eggs > Alexandra,,,,G-W,,,Gold plated silver with white agate,25 mm | 28 mm,0|1|1,28 mm
FTD-FRUIT1435/6 V,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,FTD-FRUIT1435/6 V VARIABLE,"440,00",variable,Hermitage,,V | R | DB | GR,0|1|1,V,,,Crystal,28 cm,,28 cm
P21304 MC,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21304 MC,"996,00",simple,Eggs > Anna Karenina,,,,MC,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21304 TQ,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21304 TQ,"996,00",simple,Eggs > Anna Karenina,,,,TQ,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21305 BA,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21305 BA,"706,00",simple,Eggs > Anna Karenina,,,,BA,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21305 TE,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21305 TE,"706,00",simple,Eggs > Anna Karenina,,,,TE,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21317 BA,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21317 BA,"1.380,00",simple,Eggs > Anna Karenina,,,,BA,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21317 LP,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21317 LP,"1.380,00",simple,Eggs > Anna Karenina,,,,LP,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21317 OP,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21317 OP,"1.380,00",simple,Eggs > Anna Karenina,,,,OP,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21317 TQ,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21317 TQ,"1.380,00",simple,Eggs > Anna Karenina,,,,TQ,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21317 WA,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21317 WA,"1.380,00",simple,Eggs > Anna Karenina,,,,WA,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21318 TE,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21318 TE,"1.570,00",simple,Eggs > Anna Karenina,,,,TE,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
P21318 TQ,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,Anna Karenina is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.,P21318 TQ,"1.570,00",simple,Eggs > Anna Karenina,,,,TQ,"0,1-0,2 ct (VS-S)",,"18 carat gold, malahkite, opal, tiger eye, turquoise, onyx, white agate and mother pearl",30 mm,,30 mm
804-L,"The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.","The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.",804-L,"426,00",simple,Tabble Eggs,,,,,,,Porcelain and metal,"32,5 cm",,"32,5 cm"
962-L,"The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.","The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.",962-L,"426,00",simple,Tabble Eggs,,,,,,,Porcelain and metal,"32,5 cm",,"32,5 cm"
DOF20260 R,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,DOF20260 R VARIABLE,"120,00",variable,Hermitage,,R | DB | V | GR,0|1|1,R,,,Crystal,320 ml x2,,320 ml x2
HB20001 DB,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.,HB20001 DB VARIABLE,"130,00",variable,Hermitage,,DB | R | V | GR,0|1|1,DB,,,Crystal,350 ml x2,,350 ml x2
